"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"log_providers",0.0292862093780784,"ltz",0.0315774649210396,-0.658877741936965,0.722032671779044,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.35227953794265,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0292862093780784,0.16,0.18303880861299
"log_providers",0.0311165974642083,"ltz",0.0315774649210396,-0.701963904383154,0.765118834225233,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.374262677829937,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0311165974642083,0.17,0.18303880861299
"log_providers",0.0329469855503382,"ltz",0.0315774649210396,-0.74505368673761,0.808208616579689,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.396247664643135,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0329469855503382,0.18,0.18303880861299
"log_providers",0.0347773736364681,"ltz",0.0315774649210396,-0.788146518145966,0.851301447988045,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.418234207124664,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0347773736364681,0.19,0.18303880861299
"log_providers",0.036607761722598,"ltz",0.0315774649210396,-0.831241941760601,0.89439687160268,TRUE,"Uniform direct effect","uniform",TRUE,"residual_sd",114803,0.440222072184719,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.036607761722598,0.2,0.18303880861299
"log_providers",0,"ltz",0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0141195526740508,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0,0,0.18303880861299
"log_providers",0.0018303880861299,"ltz",0.0315774649210396,0.00389893258184154,0.0592559972602376,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0141219596673831,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0018303880861299,0.01,0.18303880861299
"log_providers",0.0036607761722598,"ltz",0.0315774649210396,0.00388478454316994,0.0592701452989092,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0141291781871024,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0036607761722598,0.02,0.18303880861299
"log_providers",0.0054911642583897,"ltz",0.0315774649210396,0.00386122052762406,0.0592937093144551,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0141412008649331,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0054911642583897,0.03,0.18303880861299
"log_providers",0.0073215523445196,"ltz",0.0315774649210396,0.0038282645227199,0.0593266653193593,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0141580154621217,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0073215523445196,0.04,0.18303880861299
"log_providers",0.0091519404306495,"ltz",0.0315774649210396,0.0037859499403382,0.059368979901741,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.014179604931477,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0091519404306495,0.05,0.18303880861299
"log_providers",0.0109823285167794,"ltz",0.0315774649210396,0.00373431944850237,0.0594206103935768,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0142059475031992,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0109823285167794,0.06,0.18303880861299
"log_providers",0.0128127166029093,"ltz",0.0315774649210396,0.00367342475849204,0.0594815050835871,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0142370167934978,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0128127166029093,0.07,0.18303880861299
"log_providers",0.0146431046890392,"ltz",0.0315774649210396,0.00360332636974297,0.0595516034723362,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0142727819347463,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0146431046890392,0.08,0.18303880861299
"log_providers",0.0164734927751691,"ltz",0.0315774649210396,0.00352409327542292,0.0596308365666563,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0143132077257022,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0164734927751691,0.09,0.18303880861299
"log_providers",0.018303880861299,"ltz",0.0315774649210396,0.00343580263195446,0.0597191272101247,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0143582548001203,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.018303880861299,0.1,0.18303880861299
"log_providers",0.0201342689474289,"ltz",0.0315774649210396,0.00333853939607284,0.0598163904460063,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,0.0144078798119311,NA,NA,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0201342689474289,0.11,0.18303880861299
