"term","delta","method","estimate","conf_low","conf_high","contains_zero","pattern_name","pattern_type","violation_pattern_used","scale_instrument","nobs","se","theta_min","theta_max","baseline_estimate","baseline_conf_low","baseline_conf_high","crosses_baseline_sign","significant_at_level","error","delta_outcome_units","delta_share_of_residual_y_sd","residual_y_sd"
"log_providers",0.0201342689474289,"uci",0.0315774649210396,0.00141431549323232,0.0626073261409406,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0201342689474289,0.0201342689474289,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0201342689474289,0.11,0.18303880861299
"log_providers",0.0219646570335588,"uci",0.0315774649210396,0.00118241724115145,0.062917662125324,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0219646570335588,0.0219646570335588,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0219646570335588,0.12,0.18303880861299
"log_providers",0.0237950451196887,"uci",0.0315774649210396,0.000949572604982431,0.0632288525262408,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0237950451196887,0.0237950451196887,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0237950451196887,0.13,0.18303880861299
"log_providers",0.0256254332058186,"uci",0.0315774649210396,0.000715778678080755,0.0635408927803867,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0256254332058186,0.0256254332058186,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0256254332058186,0.14,0.18303880861299
"log_providers",0.0274558212919485,"uci",0.0315774649210396,0.000481032639910485,0.063853778270061,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0274558212919485,0.0274558212919485,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0274558212919485,0.15,0.18303880861299
"log_providers",0.0292862093780784,"uci",0.0315774649210396,0.000245331753782621,0.0641675043436393,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0292862093780784,0.0292862093780784,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0292862093780784,0.16,0.18303880861299
"log_providers",0.0311165974642083,"uci",0.0315774649210396,8.67338187671846e-06,0.0644820663077048,FALSE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0311165974642083,0.0311165974642083,0.0315774649210396,0.0039036502020838,0.0592512796399954,FALSE,TRUE,NA,0.0311165974642083,0.17,0.18303880861299
"log_providers",0.0329469855503382,"uci",0.0315774649210396,-0.000228945024809989,0.0647974594259218,TRUE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0329469855503382,0.0329469855503382,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0329469855503382,0.18,0.18303880861299
"log_providers",0.0347773736364681,"uci",0.0315774649210396,-0.00046752592342035,0.0651136789332879,TRUE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.0347773736364681,0.0347773736364681,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.0347773736364681,0.19,0.18303880861299
"log_providers",0.036607761722598,"uci",0.0315774649210396,-0.000707071676747714,0.0654307200223341,TRUE,"Density direct-effect pattern","theory_defined",TRUE,"residual_sd",114803,NA,-0.036607761722598,0.036607761722598,0.0315774649210396,0.0039036502020838,0.0592512796399954,TRUE,FALSE,NA,0.036607761722598,0.2,0.18303880861299
